start,end,speaker,text
159.08,172.60000000000002,SPEAKER_00," Well, the answer is no, and I really, I think some people take a job because of the status and some people take a job because of what they want to do."
172.60000000000002,175.4,SPEAKER_00, That's probably true in all walks of life.
175.4,182.92000000000002,SPEAKER_00," But throughout my career, I've been driven by the science, but I've always been interested in how science is done."
182.92000000000002,194.04,SPEAKER_00," And after quite a few years working in a research institute, I became very interested in how you could make conditions better for younger scientists."
194.04,198.64,SPEAKER_00, And so that took me more into leadership roles within academia.
198.64,202.72,SPEAKER_00, And I moved to King's College London 10 years ago.
202.72,223.24,SPEAKER_00," And one of the real attractions of that job was having the ability to design space for research to be conducted really along the principles that where people sit, where offices are, where core facilities are, where the benches are."
223.24,235.2,SPEAKER_00," If you pay attention to the space, you can make an environment which is more or less collegial, more and more or less happy place for people to work."
235.2,238.07999999999998,SPEAKER_01, So that was part of your role at King's College?
238.07999999999998,239.07999999999998,SPEAKER_01, Did you say?
239.07999999999998,240.07999999999998,SPEAKER_00," Yeah, yeah."
240.07999999999998,244.84,SPEAKER_00," I mean, it was quite hard work."
244.84,249.20000000000002,SPEAKER_00, Speaking weekly to architects and all the adventures we had there.
249.20000000000002,254.24,SPEAKER_00, But I've stepped down from the centre that I set up.
254.24,261.92,SPEAKER_00," But when I think about what has made it a happy place to work, for me, part of the answer is the physical space."
261.92,265.92,SPEAKER_00, And I don't think scientists always think about that.
265.92,271.08,SPEAKER_00," They might think about a nice atrium, you know, the way it looks from the outside."
271.15999999999997,277.28,SPEAKER_00, I've worked in places where interactions between different groups were better or worse.
277.28,280.08,SPEAKER_00, And I think the physical space is important.
280.08,281.91999999999996,SPEAKER_00, How do you define leadership?
281.91999999999996,298.4,SPEAKER_00, I'm glad you asked that question because I truly think a leader is someone who takes ownership of a particular topic in science or particular activity.
298.4,305.12,SPEAKER_00," And if they're a thought leader, then they will influence others by what they write and how they speak."
305.12,312.84,SPEAKER_00," If it's an organisation like EMBO, it's important to be the public face of the organisation as well."
312.84,319.96,SPEAKER_00, But I think you can be a science leader without ever being head of a research group.
319.96,325.64,SPEAKER_00, You can be a pioneer in a field or a way of thinking.
325.64,331.0,SPEAKER_00, And it might not even become apparent for years that you were a leader.
331.0,336.88,SPEAKER_00, So I think you can be a leader without ever line managing anybody.
336.88,339.08,SPEAKER_01, Where did you learn your leadership skills?
339.08,341.0,SPEAKER_01, Was it just learning by doing?
341.0,342.64,SPEAKER_01, Or did you take courses?
342.64,344.03999999999996,SPEAKER_01, Or did you have a mentor?
344.03999999999996,349.15999999999997,SPEAKER_01," Or did you see people who were doing a fantastic job and thought, yes, I want to lead like they do?"
349.72,355.20000000000005,SPEAKER_00," You know, when I was starting out, there were very few women scientists."
355.20000000000005,367.96000000000004,SPEAKER_00," And partly because of what I work on, most of the support that I had came from more senior women scientists who were based in the US."
367.96000000000004,375.0,SPEAKER_00, And it was really meant a lot to me that I wouldn't see these women very often.
375.04,383.8,SPEAKER_00, But understanding what they had gone through and how they helped one another was a big support for me.
383.8,388.56,SPEAKER_00, But I felt that I had no training.
388.56,403.88,SPEAKER_00," And so I think because of that experience, I felt very much on my own in control of my own career, this is what I want to do now and how am I going to do it."
403.88,408.52,SPEAKER_01, So the skills that you have gained over time is more through self learning.
408.52,409.84,SPEAKER_00," Yeah, I think so."
409.84,412.44,SPEAKER_00, And I know a lot of people.
412.44,422.76,SPEAKER_00," So you can sort of, you know, if you're observing people, you can pick up things that you like or you would do it differently."
422.76,426.32,SPEAKER_00, But I would say it's completely different now.
426.32,442.84000000000003,SPEAKER_00," And one of the things that Enbow has run for many years is a lab management course, which is targeted at scientists just at the cusp of independence because you get offered a job in science because you're a great scientist, not because you're a great leader."
442.84000000000003,453.52,SPEAKER_00," And so helping those young people and everybody who's been through my lab and done that course is better than me because, you know, they're in a trusting environment."
453.52,458.08,SPEAKER_00, They learn about the common challenges you face early on.
458.08,460.04,SPEAKER_00, And of course they stay in touch with one another.
460.04,464.84000000000003,SPEAKER_00, So it's like an instant helpline when things get tough.
464.84000000000003,471.72,SPEAKER_01," So I don't know if you've done any of those like leadership style, you know, questionnaires or anything like that throughout your career."
471.72,473.92,SPEAKER_01, But do you do you have a leadership style?
473.92,479.68,SPEAKER_01," Does it have a particular name or, you know, how do you how do you think of yourself as a leader?"
479.68,482.04,SPEAKER_00, I've done leadership courses.
482.04,487.48,SPEAKER_00, I've not undergone psychiatric tests to decide what kind of a leader I am.
487.48,494.56,SPEAKER_00, But I think I like to consult a lot before making a decision about something that needs to be done.
494.56,502.84000000000003,SPEAKER_00," But then at some point, you know, having achieved or not achieved consensus, it's important to move forward with that."
502.84000000000003,509.20000000000005,SPEAKER_00, I think it's important that people are not frightened to tell you when you're wrong.
509.20000000000005,520.6,SPEAKER_00," And I don't think I think in a science context, you have to deeply respect the aspirations of the younger scientists in your care."
520.6,528.0400000000001,SPEAKER_00," So having regular conversations about where they're going, what they want to achieve is very important."
528.0400000000001,537.2800000000001,SPEAKER_00," And I think perhaps historically scientists, if you decided not to stay in academia, that would be like, well, you're out of the game."
537.2800000000001,539.32,SPEAKER_00, But it's so different now.
539.32,551.72,SPEAKER_00," And everyone who is trained as a scientist has a different part to play and keeping tabs on that, making connections between the different sectors, I think makes science stronger."
551.72,558.88,SPEAKER_01, So you've talked a little bit about your leadership style and what you think sort of makes good leadership.
558.88,561.5600000000001,SPEAKER_01, What do you think bad leadership looks like?
561.5600000000001,577.16,SPEAKER_00," Well, I don't like it when I feel that somebody in a leadership role is just in it for themselves, for the kudos, the glory, and is not doing anything for the organization."
577.16,585.88,SPEAKER_00, I think it's important that people are able to express conflicting opinions without it being personal.
585.88,589.8,SPEAKER_00, And one of my mantras in the lab is there's nothing wrong with being wrong.
589.8,594.0,SPEAKER_00," You know, you can do the experiment."
594.0,600.72,SPEAKER_00, You can realize afterwards that this was not done correctly or the numbers are wrong or the interpretation is wrong.
600.72,609.6,SPEAKER_00," But as long as you are not frightened to say I was wrong, then science is in good shape."
609.6,617.32,SPEAKER_01," You have been in a position of leading a funding agency, MRC, of leading research centers, of leading labs, now leading embers."
617.32,637.0400000000001,SPEAKER_01," So you have seen science at its very highest level and you have worked with people at the very highest levels of science who are the decision makers often, whether it comes to funding or policy or strategies for direction of research and training and all of those things."
637.0400000000001,646.24,SPEAKER_01, Do you think that science and the scientific endeavor is served well by its leaders?
646.24,654.04,SPEAKER_00," I, so you can't do science without money, right?"
654.04,661.5600000000001,SPEAKER_00, And I think it is for governments to decide how much money they should spend on science.
661.5600000000001,673.96,SPEAKER_00, I have no trouble with that being a political decision because in some countries it's the needs of their community is so great that it wouldn't make sense to put a lot of money into science.
674.0400000000001,700.32,SPEAKER_00," If we're talking about the UK, Germany, for example, I think the case that good science is good for the population at large, I feel ideally that the decisions about how the money should be spent should, as far as possible, be made by science leaders, not by politicians."
700.32,704.8000000000001,SPEAKER_00, I think there is a real trust issue here.
704.8000000000001,712.5200000000001,SPEAKER_00, And I saw it in MIC that I think scientists have a good reputation.
712.5200000000001,728.96,SPEAKER_00, Academics often don't because any discussion with government will quickly flip to you should give more money to my type of science and particularly to my university.
728.96,732.6,SPEAKER_00, And I don't think that that is very high quality advice.
732.6,735.32,SPEAKER_00, It's that is more like lobbying.
735.32,758.48,SPEAKER_00, And so actually one of the things that I'm planning at EMBO is to convene a small group of people who I believe have done it well in different countries who are trusted advisors so that we can be better advising governments.
758.48,782.04,SPEAKER_00," So I think we really have to try to understand how is all of this going to work and how can we ensure that the creativity and independence of scientists flourish, but yet ultimately, at some point, there is a tangible benefit for society."
782.68,797.76,SPEAKER_01," OK, so we've already touched on this a little bit when we talked about your career and how you took on more and more leadership positions and I guess more leadership positions with more responsibility as you move through your career."
797.76,807.48,SPEAKER_01," But obviously that starts when you're an early career researcher and you said yourself, sometimes you can be a leader without having a giant group of people to be leading."
807.48,813.88,SPEAKER_01, So do you think it is important for early career researchers to think about leadership?
813.88,823.0,SPEAKER_01," And if so, where would you advise them that they develop leadership skills and why and how?"
823.0,829.2,SPEAKER_00, So one thing I'd like to correct you on is that you talked about me taking more and more leadership roles.
829.2,838.32,SPEAKER_00," However, at different points, I've stopped doing things because now I have three kids."
838.32,843.6400000000001,SPEAKER_00, I don't have unlimited time and I care about my own research.
843.6400000000001,853.5600000000001,SPEAKER_00," So I think it's not easy, but if you're going to say yes to something new, you also have to stop doing something else."
853.56,860.0,SPEAKER_00," And that can be quite, it's quite sometimes quite scary, but it's also really refreshing."
860.0,868.8399999999999,SPEAKER_00," But to go back to your question, I would actually start right at the beginning with PhD students."
868.8399999999999,877.8399999999999,SPEAKER_00," And I think a PhD student, so not perceived to be a leader, you could take leadership responsibility in a particular project."
877.8399999999999,880.76,SPEAKER_00, It might be a science art collaboration.
880.76,886.56,SPEAKER_00," I would say be curious, explore lots of different opportunities."
886.56,888.72,SPEAKER_00," Science is not a race, so it's not a race."
888.72,891.72,SPEAKER_00, It gets a PhD first.
891.72,896.68,SPEAKER_00," And just using that time, speaking to people is very good."
896.68,907.8,SPEAKER_01," I'm curious to know, why did you take on the job of being the director of Enbow?"
908.8,915.16,SPEAKER_00, So I moved to King's 10 years ago to set up the research center there.
915.16,923.3199999999999,SPEAKER_00, I was completely taken by surprise when I was appointed as executive chair of the MIC.
923.3199999999999,925.9599999999999,SPEAKER_00, That was in 2018.
925.9599999999999,931.52,SPEAKER_00," And that was a four year term, so ending in 2022."
931.52,950.64,SPEAKER_00," And I knew that I didn't want to keep doing that because as my next set of experiments in the lab, I created a company which will provide a vehicle to do some safety studies in humans."
950.64,954.0799999999999,SPEAKER_00, So that wouldn't be compatible with the MIC.
954.0799999999999,963.92,SPEAKER_00," But then when it comes to what job would you like, there are so many jobs that I absolutely would not do or are done already."
963.92,979.48,SPEAKER_00," And so when Enbow came calling, I mean, what's not like, it's international, it's focused on young scientists, it's about sharing data, whether publishing or open science initiatives."
979.48,988.36,SPEAKER_00, And to be back in a world class research institute in EMBL was just fantastic.
989.36,993.0,SPEAKER_00, And I just love that actually.
993.0,996.32,SPEAKER_00, It's such a privilege to be able to do that.
996.32,1003.72,SPEAKER_01, You are in a rather unique position to be the director of Enbow.
1003.72,1004.72,SPEAKER_01, What does that mean?
1004.72,1005.72,SPEAKER_01, What do you do?
1005.72,1007.6800000000001,SPEAKER_01, What is your day to day?
1007.6800000000001,1015.08,SPEAKER_00, Well one thing is that the director of Enbow must be an active scientist.
1015.08,1019.72,SPEAKER_00, So part of my working week is spent doing science.
1019.72,1025.3600000000001,SPEAKER_00, I've just established a new lab at EMBL Heidelberg.
1025.3600000000001,1030.04,SPEAKER_00," And then otherwise, I started in January."
1030.04,1037.4,SPEAKER_00, So I would say I've spent a lot of time trying to find out more about what we're doing.
1037.4,1040.64,SPEAKER_00, It's a really nice organization.
1040.64,1050.68,SPEAKER_00, But we're constantly looking at each of the tasks that we're responsible for and making sure that we're doing them as well as we possibly can.
1050.68,1061.2,SPEAKER_00," To give you a couple of specific examples, obviously for the last two years, the courses and workshops have not been meeting physically in person."
1061.2,1069.0400000000002,SPEAKER_00, So we put a lot of effort into trying to support meeting organizers who want to run hybrid workshops.
1069.04,1077.04,SPEAKER_00, The effect on our postdoctoral fellowships has been felt as well.
1077.04,1084.48,SPEAKER_00, And we've been able to use money to provide small extensions to the postdocs.
1084.48,1094.24,SPEAKER_00, So we've been really trying to look at how we're working and do the best that we can to support our scientists.
1094.24,1102.48,SPEAKER_00," Of course, just as the COVID cases were starting to stabilize, then there was the Russian invasion of Ukraine."
1102.48,1116.92,SPEAKER_00, And so we moved quite quickly to establish a list where scientists anywhere in the world could offer support for scientists who are displaced from Ukraine.
1116.92,1121.88,SPEAKER_00, So that has been an important effort as well.
1121.88,1128.48,SPEAKER_01," As a leader of such a big organization, how strategies decisions made?"
1128.48,1137.6000000000001,SPEAKER_00, I see this role as it's really a responsibility to do what is best for the life science community.
1137.6000000000001,1145.7600000000002,SPEAKER_00," But on the other hand, part of that responsibility is taking a look and saying, are we doing this as well as we can?"
1145.7600000000002,1162.76,SPEAKER_00," Are there things that we did 10 years ago, which aren't so important now, to give you a very concrete example, we publish a number of journals and we have to consider a future in which all of our journals, not just the subset, are open access."
1162.76,1175.16,SPEAKER_00," So I see it very much as the leadership role is leading by consensus, but sometimes making connections and suggestions which will help move us forward."
1175.16,1183.88,SPEAKER_00," We consult a lot all of the time, all of this stuff at MBO are reaching out asking for advice, debating."
1183.88,1189.0,SPEAKER_00," But that doesn't mean we just sort of tally the votes and say, oh, we'll do that."
1189.0,1192.24,SPEAKER_00, It does require an element of direction.
1192.24,1198.68,SPEAKER_00," And of course, each director comes with a different background and may have different priorities."
1198.68,1203.64,SPEAKER_01," Hello, me again."
1203.64,1211.68,SPEAKER_01, Just a quick note to say thank you to Fiona Watt for taking the time to speak to me for this episode as part of the leadership series on working scientists.
1211.68,1215.6000000000001,SPEAKER_01," And thanks, of course, also goes to you for listening."
1215.6000000000001,1225.96,SPEAKER_01, Every single listen means a lot to our team here at Nature Careers as we strive to share stories and advice that will ultimately help you navigate your career as a working scientist.
1225.96,1234.56,SPEAKER_01," So if you found this episode or any of our other episodes useful, interesting or just enjoyable, then please leave us a review wherever you get your podcasts."
1234.56,1239.92,SPEAKER_01, But also take the opportunity to let us know what you would like to hear on this show.
1239.92,1244.96,SPEAKER_01," This podcast is ultimately created for you, so we would like to know what you would like to know."
1244.96,1245.96,SPEAKER_01," All right, that's it."
1245.96,1246.96,SPEAKER_01, Thanks for listening.
1246.96,1247.96,SPEAKER_01, I'm Julie Gould.
